項目名稱,單項可製作份數,食譜/菜單資料庫,食材資料庫管理 (Ingredient Database),食材庫存量,使用數量(克),食材單位成本,項目成本
舒肥海南雞-雞胸肉,60,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),雞胸肉 (https://www.notion.so/237fd5adc30b80bcb33ffeaf867322be?pvs=21),6000,100,0.142,14.2
舒肥海南雞-薑,0,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),薑 (https://www.notion.so/237fd5adc30b8022847bec2b761a10a1?pvs=21),0,3,0.15,0.45
舒肥海南雞-青蔥,0,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),青蔥 (https://www.notion.so/237fd5adc30b80459aecc31b80493c94?pvs=21),0,3,0.25,0.75
舒肥海南雞-南薑,0,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),南薑 (https://www.notion.so/237fd5adc30b804ea372d122ed66c5e4?pvs=21),0,2,0.3,0.6
舒肥海南雞-水,20000,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,10,0.001,0.01
舒肥海南雞-橄欖油,0,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),橄欖油 (https://www.notion.so/237fd5adc30b809694e7ecca7698606f?pvs=21),0,10,0.041,0.41
舒肥海南雞-鹽,0,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),鹽 (https://www.notion.so/237fd5adc30b80c9a302e80a3cb65902?pvs=21),0,0.5,0.008,0.004
舒肥海南雞-雞粉,400,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),雞粉 (https://www.notion.so/237fd5adc30b80f8acd3d9bd1266e979?pvs=21),200,0.5,0.25,0.125
舒肥海南雞-白胡椒,166,舒肥海南雞 (https://www.notion.so/237fd5adc30b800cb641d954fd51bd55?pvs=21),白胡椒 (https://www.notion.so/237fd5adc30b8026939cfc494f13cd02?pvs=21),50,0.3,0.5,0.15
舒肥沙爹咖喱雞-雞胸肉,60,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),雞胸肉 (https://www.notion.so/237fd5adc30b80bcb33ffeaf867322be?pvs=21),6000,100,0.142,14.2
舒肥沙爹咖喱雞-羅望子,680,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),羅望子 (https://www.notion.so/237fd5adc30b80a7bc16c80d0a520b4a?pvs=21),1360,2,0.159,0.318
舒肥沙爹咖喱雞-辣椒粉,0,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),辣椒粉 (https://www.notion.so/237fd5adc30b80b68f29d1d42b2f837c?pvs=21),0,4,0.273,1.092
"舒肥沙爹咖喱雞-花生醬 ",0,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),花生醬 (https://www.notion.so/237fd5adc30b809a9cbdfab18803d584?pvs=21),0,25,0.143,3.575
舒肥沙爹咖喱雞-紅蔥頭,175,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),700,4,0.167,0.668
舒肥沙爹咖喱雞-紅糖,600,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,3,0.033,0.099
舒肥沙爹咖喱雞-椰奶,0,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),椰奶(AROY-D) (https://www.notion.so/AROY-D-237fd5adc30b806ab35ac26b914aaebd?pvs=21),0,5,0.085,0.425
舒肥沙爹咖喱雞-黃咖哩,0,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),黃咖喱(COCK) (https://www.notion.so/COCK-237fd5adc30b80c5bef4ff6c97826ee1?pvs=21),0,0.5,0.136,0.068
舒肥沙爹咖喱雞-魚露,1050,舒肥沙爹咖喱雞 (https://www.notion.so/237fd5adc30b800bbd96ebfb6a319abb?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,2,0.06,0.12
經典蝦醬-蝦米,60,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),蝦米 (https://www.notion.so/237fd5adc30b8072bcf2c22acb42b884?pvs=21),600,10,0.467,4.67
經典蝦醬-蝦醬,33,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),蝦醬 (https://www.notion.so/237fd5adc30b80968c12c5ebd21e7d9c?pvs=21),200,6,0.6,3.6
經典蝦醬-蠔油,10,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),熊貓蠔油 (https://www.notion.so/237fd5adc30b80a98b19cd023b924aa2?pvs=21),200,20,0.084,1.68
經典蝦醬-白砂糖,300,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,10,0.037,0.37
經典蝦醬-白胡椒,25,經典蝦醬 (https://www.notion.so/237fd5adc30b80808777f12b24819842?pvs=21),白胡椒 (https://www.notion.so/237fd5adc30b8026939cfc494f13cd02?pvs=21),50,2,0.5,1
