無法供應,餐點名稱,成本,價格,庫存量,安全庫存量,可供應庫存量,餐點類型,過敏原,推薦,餐點介紹,辣度,辣度選項,冰量選項,甜度選項,製作方式,製作地點,菜單組成項目
No,秘傳炸翅,15.035332346439999,100,,,16,小點,,No,秘製醃料炸製雞翅，人氣不敗。,不辣,不辣,,,炸,廚房,"秘傳炸翅-雞翅 (https://www.notion.so/237fd5adc30b805a8fa8d61342a98737?pvs=21), 秘傳炸翅-炸粉 (https://www.notion.so/237fd5adc30b801699bccc48e0993cde?pvs=21)"
Yes,薑黃乾咖哩牛,0,230,,,,主餐,,No,黃咖哩與薑黃製作,中辣,,,,炒,廚房,
Yes,烤牛肉飯,0,280,,,,主餐,,No,醃製的烤牛肋條，搭配羅望子醬汁,不辣,,,,烤,廚房,
Yes,兒童餐,0,190,,,,兒童餐,,No,為 3–10 歲兒童設計的專屬餐點組合。,不辣,,,,套餐,廚房,
Yes,升級主餐選項,0,30,,,,套餐升級,,No,指定主餐可加價升級享用人氣品項。,,,,,套餐,廚房,
Yes,素食套餐,0,330,,,,素食套餐,,No,蛋奶素餐點組合，無肉無魚製品。,,,,,套餐,廚房,
No,椰奶仙草,5.05287625422,30,,,0,甜點,,No,椰奶仙草冰,,,,,甜點,吧台,"椰奶仙草-仙草凍 (https://www.notion.so/238fd5adc30b803b9e72cc0fd01af754?pvs=21), 椰奶仙草-椰奶糖漿 (https://www.notion.so/238fd5adc30b80398871f6b189ac0db7?pvs=21), 椰奶仙草-煉乳 (https://www.notion.so/238fd5adc30b805ab1b9f0eaa8c2a2fa?pvs=21), 椰奶仙草-奶水 (https://www.notion.so/238fd5adc30b805c9f6fea1d3818f53b?pvs=21)"
No,冰淇淋,0,30,,,2,甜點,,No,巧克力冰淇淋,,,,,甜點,吧台,"冰淇淋-巧克力 (https://www.notion.so/238fd5adc30b803bb12ec167e4e71380?pvs=21), 冰淇淋-餅乾 (https://www.notion.so/238fd5adc30b801984afd5299632990d?pvs=21)"
Yes,寵物餐,0,120,,,,寵物餐,,No,使用原型食材舒肥製作，無添加調味。,無辣度,,,,冷盤,廚房,
No,鮮蝦帕泰,97.22525044561499,250,,,13,主餐,,No,新鮮白蝦與經典帕泰結合，口感鮮明。,不辣,"中辣, 大辣, 小辣",,,炒,廚房,"鮮蝦帕泰-蝦子 (https://www.notion.so/238fd5adc30b802e8ef6f71bd5cac562?pvs=21), 鮮蝦帕泰-帕泰料 (https://www.notion.so/238fd5adc30b803997b0df5e078475b6?pvs=21), 鮮蝦帕泰-帕泰醬 (https://www.notion.so/238fd5adc30b80d193c1f91007d56a10?pvs=21), 鮮蝦帕泰-配菜 (https://www.notion.so/238fd5adc30b8095b1b4ed8fdfc0e4c7?pvs=21), 鮮蝦帕泰-花生粉 (https://www.notion.so/238fd5adc30b8001a954fb8e6d701368?pvs=21), 鮮蝦帕泰-檸檬角 (https://www.notion.so/238fd5adc30b8035aa5df0a47fcbccd6?pvs=21)"
No,魚露炸腿飯,80.36970525137001,250,,,21,主餐,,No,外酥內嫩的雞腿排，搭配魚露香氣與茉莉香米飯。,不辣,小辣,,,炸,廚房,"魚露炸腿飯-去骨腿排 (https://www.notion.so/238fd5adc30b80c78a04ecbac871668f?pvs=21), 魚露炸腿飯-炸粉 (https://www.notion.so/238fd5adc30b80f98621d136ccbbce09?pvs=21), 魚露炸腿飯-生菜 (https://www.notion.so/238fd5adc30b800d9512ee06cf93dd58?pvs=21), 魚露炸腿飯-配菜 (https://www.notion.so/238fd5adc30b80e2b608c213f7de66f4?pvs=21), 魚露炸腿飯-米 (https://www.notion.so/238fd5adc30b8098b9d3e828206bfbee?pvs=21), 魚露炸腿飯-蛋 (https://www.notion.so/238fd5adc30b8096a7a9e60b7d4782ec?pvs=21), 魚露炸腿飯-醬 (https://www.notion.so/238fd5adc30b809eb161dd78d7d6d303?pvs=21)"
No,雞肉帕泰,57.745250445615,190,,,13,主餐,,No,經典帕泰加入嫩雞肉，鹹甜爽口。,不辣,"中辣, 大辣, 小辣",,,炒,廚房,"雞肉帕泰-料 (https://www.notion.so/238fd5adc30b80f6a7e7f5558d680f6b?pvs=21), 雞肉帕泰-醬 (https://www.notion.so/238fd5adc30b803ba69fef5f0bde53be?pvs=21), 雞肉帕泰-雞肉 (https://www.notion.so/238fd5adc30b803faf2cdefc3c961b6e?pvs=21), 雞肉帕泰-配菜 (https://www.notion.so/238fd5adc30b808cb6e0f6727526d079?pvs=21), 雞肉帕泰-花生粉 (https://www.notion.so/238fd5adc30b8047aed3f65ac20b27bb?pvs=21), 雞肉帕泰-檸檬角 (https://www.notion.so/238fd5adc30b8036a3bef1b2fc4eb1ee?pvs=21)"
