名稱,食譜,食譜用量,動態庫存量,食譜單價,"食材 ",食材用量,食材庫存,食材單價,使用菜單,總價,可製作份數
秘傳炸翅-炸粉,經典炸粉 (https://www.notion.so/237fd5adc30b80e5a5f6def1605178e1?pvs=21),20,3000,0.0377,,,0,0,秘傳炸翅 (https://www.notion.so/237fd5adc30b8067971bca3d1bb0f779?pvs=21),0.754,150
秘傳炸翅-雞翅,秘傳炸翅 (https://www.notion.so/237fd5adc30b80508de0d13e4e2cf1a2?pvs=21),120,2000,0.119011102887,,,0,0,秘傳炸翅 (https://www.notion.so/237fd5adc30b8067971bca3d1bb0f779?pvs=21),14.28133234644,16
椰奶仙草-仙草凍,仙草凍 (https://www.notion.so/238fd5adc30b80149cc8eeb887ffbb35?pvs=21),80,1980,0.00247826087,,,0,0,椰奶仙草 (https://www.notion.so/237fd5adc30b80cb9171db53b89a5a7e?pvs=21),0.1982608696,24
椰奶仙草-椰奶糖漿,椰奶糖漿 (https://www.notion.so/238fd5adc30b80bf9cdfedb84364ae60?pvs=21),20,0,0.151230769231,,,0,0,椰奶仙草 (https://www.notion.so/237fd5adc30b80cb9171db53b89a5a7e?pvs=21),3.02461538462,0
椰奶仙草-煉乳,,,0,0,煉乳 (https://www.notion.so/237fd5adc30b809d93cac83ecc594312?pvs=21),10,2000,0.09,椰奶仙草 (https://www.notion.so/237fd5adc30b80cb9171db53b89a5a7e?pvs=21),0.9,200
椰奶仙草-奶水,,,0,0,奶水 (https://www.notion.so/237fd5adc30b803f92e9f723de301e2c?pvs=21),10,2000,0.093,椰奶仙草 (https://www.notion.so/237fd5adc30b80cb9171db53b89a5a7e?pvs=21),0.93,200
冰淇淋-巧克力,,,0,0,杜老爺巧克力 (https://www.notion.so/238fd5adc30b80ddbe67cdeb7488252b?pvs=21),50,100,0,冰淇淋 (https://www.notion.so/237fd5adc30b800c8d82d87946c37da0?pvs=21),0,2
冰淇淋-餅乾,,,0,0,義美小泡芙 (https://www.notion.so/238fd5adc30b8095b27bc9528f9e8ed0?pvs=21),10,50,0,冰淇淋 (https://www.notion.so/237fd5adc30b800c8d82d87946c37da0?pvs=21),0,5
鮮蝦帕泰-蝦子,剝殼白蝦 (https://www.notion.so/238fd5adc30b80739d7df23c1e7808b1?pvs=21),120,1920,0.4,,,0,0,鮮蝦帕泰 (https://www.notion.so/237fd5adc30b805bae7dcded3e7b64cc?pvs=21),48,16
鮮蝦帕泰-帕泰料,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),354,4862,0.074179144385,,,0,0,鮮蝦帕泰 (https://www.notion.so/237fd5adc30b805bae7dcded3e7b64cc?pvs=21),26.25941711229,13
鮮蝦帕泰-帕泰醬,帕泰醬 (https://www.notion.so/237fd5adc30b8031bd9deeeb23a48783?pvs=21),45,7080,0.082574074074,,,0,0,鮮蝦帕泰 (https://www.notion.so/237fd5adc30b805bae7dcded3e7b64cc?pvs=21),3.71583333333,157
鮮蝦帕泰-配菜,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),105,2100,0.113619047619,,,0,0,鮮蝦帕泰 (https://www.notion.so/237fd5adc30b805bae7dcded3e7b64cc?pvs=21),11.929999999995,20
鮮蝦帕泰-花生粉,花生粉 (https://www.notion.so/238fd5adc30b8034b88bfe8747b8ff7f?pvs=21),30,1000,0.172,,,0,0,鮮蝦帕泰 (https://www.notion.so/237fd5adc30b805bae7dcded3e7b64cc?pvs=21),5.16,33
鮮蝦帕泰-檸檬角,,,0,0,無子檸檬 (https://www.notion.so/237fd5adc30b80c4a596f4e778a5e1ce?pvs=21),20,600,0.108,鮮蝦帕泰 (https://www.notion.so/237fd5adc30b805bae7dcded3e7b64cc?pvs=21),2.16,30
魚露炸腿飯-去骨腿排,魚露炸腿 (https://www.notion.so/237fd5adc30b80259e71ec3f4766c4b4?pvs=21),350,10800,0.151949204406,,,0,0,魚露炸腿飯 (https://www.notion.so/237fd5adc30b802799c9d516223c50c5?pvs=21),53.1822215421,30
魚露炸腿飯-炸粉,經典炸粉 (https://www.notion.so/237fd5adc30b80e5a5f6def1605178e1?pvs=21),20,3000,0.0377,,,0,0,魚露炸腿飯 (https://www.notion.so/237fd5adc30b802799c9d516223c50c5?pvs=21),0.754,150
