調整單號,食材,調整數量,單位,調整類型,調整日期,負責人,調整原因,已更新庫存,重量/克
0722-竹筍,竹筍 (https://www.notion.so/237fd5adc30b800ea2bcf3216b608948?pvs=21),200,克,庫存建立,2025年7月22日 下午4:40,,,Yes,200
0722-洋蔥,洋蔥 (https://www.notion.so/237fd5adc30b8084a750d06564ef0fb1?pvs=21),400,克,庫存建立,2025年7月22日 下午2:40,,,Yes,400
0722-檸檬,無子檸檬 (https://www.notion.so/237fd5adc30b80c4a596f4e778a5e1ce?pvs=21),0,克,庫存建立,2025年7月22日 下午2:39,,,Yes,0
0722-小番茄,小番茄 (https://www.notion.so/237fd5adc30b80f09c23c68d2ea0a750?pvs=21),200,克,庫存建立,2025年7月22日 下午2:39,,,Yes,200
0722-小黃瓜,小黃瓜 (https://www.notion.so/237fd5adc30b809ea510e4b1f3c87b8e?pvs=21),75,克,庫存建立,2025年7月22日 下午2:38,,,Yes,75
0722-檸檬汁,檸檬汁 (https://www.notion.so/237fd5adc30b8055a1c3ef43c5dd436d?pvs=21),1600,克,庫存建立,2025年7月22日 下午2:38,,,Yes,1600
0722-蒜仁,蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,克,庫存建立,2025年7月22日 下午2:37,,,Yes,600
0722-蝦米,蝦米 (https://www.notion.so/237fd5adc30b8072bcf2c22acb42b884?pvs=21),600,克,庫存建立,2025年7月22日 下午2:37,,,Yes,600
0722-地瓜,黃地瓜 (https://www.notion.so/237fd5adc30b80729dd4e0369414fdf5?pvs=21),600,克,庫存建立,2025年7月22日 下午2:36,,,Yes,600
0722-白花菜,白花菜 (https://www.notion.so/238fd5adc30b8082b82aed5e85fdcc8c?pvs=21),400,克,庫存建立,2025年7月22日 下午2:36,,,Yes,400
0722-青花菜,青花菜 (https://www.notion.so/238fd5adc30b8063ba66c61d4b4a85f4?pvs=21),400,克,庫存建立,2025年7月22日 下午2:35,,,Yes,400
0722-香菜,香菜 (https://www.notion.so/237fd5adc30b80999722d19341598b92?pvs=21),150,克,庫存建立,2025年7月22日 下午2:35,,,Yes,150
0722-木耳,木耳 (https://www.notion.so/237fd5adc30b803d9dbee96752957f65?pvs=21),500,克,庫存建立,2025年7月22日 下午2:34,,,Yes,500
0722-蘿蔓美生,蘿蔓美生 (https://www.notion.so/238fd5adc30b80fdad87ea89e95bf6b5?pvs=21),453,克,庫存建立,2025年7月22日 下午2:34,,,Yes,453
0722-青木瓜,青木瓜 (https://www.notion.so/237fd5adc30b80839bc1f7beb7bce906?pvs=21),1200,克,庫存建立,2025年7月22日 下午2:33,,,Yes,1200
0722-九層塔,九層塔 (https://www.notion.so/238fd5adc30b80c4b411eb6fae19d411?pvs=21),112,克,庫存建立,2025年7月22日 下午2:32,,,Yes,112
0722-杏鮑菇,杏鮑菇 (https://www.notion.so/237fd5adc30b80d5bc19dc90e7299ed9?pvs=21),600,克,庫存建立,2025年7月22日 下午2:32,,,Yes,600
0722-雞蛋,雞蛋 (https://www.notion.so/237fd5adc30b806d9cf7fa4a4bc5ac10?pvs=21),5,公斤,庫存建立,2025年7月22日 下午2:31,,65,Yes,5000
0722-豆干,豆干 (https://www.notion.so/237fd5adc30b801e9394c2ae6880938d?pvs=21),800,克,庫存建立,2025年7月22日 下午2:31,,,Yes,800
0722-高麗菜,高麗菜 (https://www.notion.so/237fd5adc30b80948b2afd34aaca0ec9?pvs=21),200,克,庫存建立,2025年7月22日 下午2:30,,,Yes,200
0722-雞蛋豆腐,雞蛋豆腐 (https://www.notion.so/238fd5adc30b801ab514d26fe50508d3?pvs=21),900,克,庫存建立,2025年7月22日 下午2:28,,300,Yes,900
0722-羊肉片,羊肉片 (https://www.notion.so/237fd5adc30b80f28a28fd7452c17574?pvs=21),0.6,公斤,庫存建立,2025年7月22日 下午2:28,,,Yes,600
0722-玉米塊,玉米塊 (https://www.notion.so/238fd5adc30b802dbc94c1f4bd1bd1d2?pvs=21),3,公斤,庫存建立,2025年7月22日 下午2:27,,,Yes,3000
0722-雞塊,雞塊 (https://www.notion.so/238fd5adc30b80489fabec51b1e9011f?pvs=21),1.5,公斤,庫存建立,2025年7月22日 下午2:27,,,Yes,1500
0722-二節翅,二節翅 (https://www.notion.so/237fd5adc30b8001bdadd4a427a9efbd?pvs=21),0,公斤,庫存建立,2025年7月22日 下午2:25,,已全部加工,Yes,0
0722-翅小腿,翅小腿 (https://www.notion.so/237fd5adc30b80cfb1a5cf885a28ee55?pvs=21),0,公斤,庫存建立,2025年7月22日 下午2:24,,已全部製作,Yes,0
0722-鱸魚片,鱸魚片 (https://www.notion.so/238fd5adc30b80f58b0df45f59adf10d?pvs=21),1650,克,庫存建立,2025年7月22日 下午2:23,,220,Yes,1650
0722-白蝦,白蝦 (https://www.notion.so/237fd5adc30b802bab46dee293f9b453?pvs=21),2,公斤,庫存建立,2025年7月22日 下午2:22,,1kg,Yes,2000
0722-去骨腿排,去骨腿排 (https://www.notion.so/237fd5adc30b80f4b4eaf7bbc71a0f8b?pvs=21),0,公斤,庫存建立,2025年7月22日 下午2:21,,kg,Yes,0
0722-豬絞肉,豬絞肉 (https://www.notion.so/237fd5adc30b806793f6f97371ef65ff?pvs=21),3,公斤,庫存建立,2025年7月22日 下午2:21,,,Yes,3000
0722-雞胸肉,雞胸肉 (https://www.notion.so/237fd5adc30b80bcb33ffeaf867322be?pvs=21),6,公斤,庫存建立,2025年7月22日 下午2:21,,1000,Yes,6000
0722-NL,牛柳 (https://www.notion.so/238fd5adc30b802cac69e53f088094f0?pvs=21),3,公斤,庫存建立,2025年7月22日 下午2:20,,1000,Yes,3000
0722-Cs,3/8脆薯 (https://www.notion.so/3-8-238fd5adc30b80b3bb06d7985092c012?pvs=21),4.4,公斤,庫存建立,2025年7月22日 下午1:22,,200,Yes,4400
0722-Dpf,打拋粉 (https://www.notion.so/237fd5adc30b805983aad327ae6a5e01?pvs=21),3450,克,庫存建立,2025年7月22日 下午1:19,,,Yes,3450
