供應商,品項ID,規格/單位,庫存量,供應商ID,安全庫存量,進價,單位成本,品項類別,狀態,最後進貨日,食材名稱,食譜組成項目,關聯的採購項目,總進貨量
全聯,杜老爺巧克力,,100,QL (https://www.notion.so/QL-237fd5adc30b80cd86f6dfb8c235e420?pvs=21),,,0,,未開始,2025年7月22日 下午9:42,杜老爺巧克力,,,0
全聯,義美小泡芙,,50,QL (https://www.notion.so/QL-237fd5adc30b80cd86f6dfb8c235e420?pvs=21),,,0,,未開始,2025年7月22日 下午9:42,義美小泡芙,,,0
蛋商,雞蛋,20 斤,5000,YZ (https://www.notion.so/YZ-237fd5adc30b80319167fa5df753bc7b?pvs=21),,860,0.072,,未開始,2025年7月22日 下午7:27,雞蛋,"經典帕泰-雞蛋 (https://www.notion.so/237fd5adc30b80b393fddc00a24b08ff?pvs=21), 泰式炸蛋-雞蛋 (https://www.notion.so/238fd5adc30b8093b168d88a66e3e904?pvs=21)",,0
洋基,牛肉片,1 公斤,0,YJ (https://www.notion.so/YJ-237fd5adc30b80d99e59cd54b975744c?pvs=21),,320,0.32,,未開始,2025年7月22日 下午9:40,牛肉片,,,0
洋基,豬絞肉,1 斤,3000,YJ (https://www.notion.so/YJ-237fd5adc30b80d99e59cd54b975744c?pvs=21),,95,0.158,,未開始,2025年7月22日 下午7:24,豬絞肉,"早餐豬肉丸-豬絞肉 (https://www.notion.so/237fd5adc30b80ebb5fff66ad6f9232c?pvs=21), 炸春捲-豬絞肉 (https://www.notion.so/237fd5adc30b80f29b9cd5960a55d86d?pvs=21), 經典打拋醬-豬肉 (https://www.notion.so/238fd5adc30b80eeb6b6fc93231195c4?pvs=21)",,0
洋基,牛柳,1 斤,3000,YJ (https://www.notion.so/YJ-237fd5adc30b80d99e59cd54b975744c?pvs=21),,180,0.3,,未開始,2025年7月22日 下午7:24,牛柳,醃製牛柳-牛柳 (https://www.notion.so/238fd5adc30b80219681c4d28d9e10d6?pvs=21),,0
洋基,羊肉片,1 公斤,600,YJ (https://www.notion.so/YJ-237fd5adc30b80d99e59cd54b975744c?pvs=21),,270,0.27,,未開始,2025年7月22日 下午7:26,羊肉片,Laab羊-羊肉片 (https://www.notion.so/Laab-237fd5adc30b80e0bdd5e71e40a94790?pvs=21),,0
洋基,肋條肉,1 公斤,0,YJ (https://www.notion.so/YJ-237fd5adc30b80d99e59cd54b975744c?pvs=21),,250,0.25,,未開始,2025年7月22日 下午9:39,肋條肉,Laab羊-羊肉片 (https://www.notion.so/Laab-237fd5adc30b80e0bdd5e71e40a94790?pvs=21),,0
自產,水,1 公斤,200000,TANA (https://www.notion.so/TANA-237fd5adc30b80aa844fe9be9e8ea04f?pvs=21),,1,0.001,,未開始,2025年7月22日 下午8:34,水,"舒肥海南雞-水 (https://www.notion.so/237fd5adc30b8065836dce59222d2fe0?pvs=21), 經典紅咖哩醬-水 (https://www.notion.so/237fd5adc30b808e8205f7fd732624f4?pvs=21), 舒肥薑黃咖喱雞-水 (https://www.notion.so/237fd5adc30b805cb3abc73787f78381?pvs=21), 酸辣湯底-水 (https://www.notion.so/237fd5adc30b808bb9aae04ac9615991?pvs=21), 泰式奶茶-水 (https://www.notion.so/237fd5adc30b8046bc84e1a3fd7972b4?pvs=21), 經典綠咖哩醬-水 (https://www.notion.so/237fd5adc30b808db5a8f03233a4171e?pvs=21), 泰式奶綠-水 (https://www.notion.so/237fd5adc30b80ac8de4fe73f9452e4e?pvs=21), 泰式檸檬茶-水 (https://www.notion.so/237fd5adc30b80da9c00e57e72e93489?pvs=21), 經典國寶茶-水 (https://www.notion.so/237fd5adc30b80f0be50d44fadf9e732?pvs=21), 泰式傳統咖啡-水 (https://www.notion.so/237fd5adc30b800483e4f1163f92d57c?pvs=21), 煉乳檸檬-水 (https://www.notion.so/237fd5adc30b809f8f01eb6eb3568fbd?pvs=21), 檸檬汁-水 (https://www.notion.so/237fd5adc30b80adb3b2f08e38440c67?pvs=21), 炸物醬(紅)-水 (https://www.notion.so/237fd5adc30b80668d97ee627187183a?pvs=21), 椰奶糖漿-水 (https://www.notion.so/238fd5adc30b80c59a21f2ec3a9b1b60?pvs=21), 仙草凍-水 (https://www.notion.so/238fd5adc30b801ea110e4fe693f0f9c?pvs=21)",,0
自產,檸檬葉,600 克,,HJ (https://www.notion.so/HJ-237fd5adc30b80b19761e0adc9cb9b8b?pvs=21),,600,1,,未開始,2025年7月22日 下午7:21,檸檬葉,"魚露炸腿-檸檬葉 (https://www.notion.so/237fd5adc30b8067aa8be308ea0b8443?pvs=21), 舒肥薑黃咖喱雞-檸檬葉 (https://www.notion.so/237fd5adc30b8012a03fcfb167f7f3bc?pvs=21)",,0
